# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Mar 14 23:46:01 CET 2022 [seed=666]
# -overwrite -seed 666 -beagle_gpu HBV-A_phylogeography_markov_jumps.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates
100000	0.18239044494480322	4.3550326664313745	1.8038621087832012	1.6510965599178522	0.29344326294606077	0.8352880820865828	1.1308221163806422	3.7147521735468647	0.15761165596244212	0.25578145888251097	0.38915062952722884	2.501627651703445	0.16485702173178016	0.5625211613527893	1.1765730832289962	4.776131660112726	2.5171379028030927	2.0558726737190676	0.7322322285262058	0.4779865282195056	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	11.0
110000	0.06468646216458875	0.01524758344601028	1.2754499276519096	0.8107206213389759	0.40918292872395234	0.4612841633770757	0.2571958600129515	0.4757512382905788	0.4077150435913251	0.11961590759290662	0.05347291159033909	2.537584233579234	0.9527662312534984	0.2022001364761235	1.2599970189761935	2.702035698327092	1.8960262688258327	1.1472806437974719	0.551727419190537	0.6968873913741938	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	10.0
120000	1.4653471628838635	1.6760469934062636	1.1304805884620943	0.07244915531057525	1.0199841068532451	1.5849912427446182	0.377438726266371	0.8486628227861566	0.5600231216530559	0.6142329955687799	0.8937354086245595	0.04165260604515071	0.42918783480602807	0.6875064561062922	0.14686513999645387	2.6850350935288394	0.16827245656466655	1.945677470336224	0.09549126040067495	0.2731053062253484	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	8.0
130000	0.024465216037884655	0.006480769969952122	0.7582878105188016	0.17457587421004514	0.15431826120287792	2.428698068641129	0.7993492523586642	0.8605037850811167	0.6720314915768382	0.42485634464744065	0.235506001983765	1.3764679920618004	0.24484379077777116	0.127341039176737	0.9075454645625197	1.951429967110455	0.10643130025339063	1.9774419533192773	0.3793324943934575	0.29283641711282127	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	10.0
140000	0.04317137221385057	1.1312578813206549	1.0026196414251511	0.2253041427748994	3.171524911136706	1.2117139850949223	1.3331636726567273	0.29644160140141707	0.1903330752068642	0.15389617014389043	0.14709402189316123	0.6622874648317417	0.6238179069456216	0.35397033694033725	2.2100634370240275	2.471701165892631	0.916438822300905	2.2193797259650094	1.1439642493529354	3.036006828769544	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	8.0
150000	0.8449403089614131	0.8874713768624996	0.8325742065451022	0.6341238062877363	0.8015109635341747	1.7025772214627735	0.11456220149377755	0.28098594223748424	0.8927935084322671	0.46123784805582185	0.2889624949136171	0.8418133647197524	0.7849477937284473	1.8709487302179737	0.3130236463334603	3.5673132276028423	1.0523828991590398	1.7914482984167313	1.3605078653505276	0.17285371787953985	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	10.0
160000	0.792727413651958	1.5669052043688063	0.8062321805070177	0.644351356432552	0.009090087702205634	0.9907590215191105	0.5221971390491786	0.2022047843255673	1.7199759663811878	0.03643161571421901	0.07571060199145578	0.5755028495838735	1.215012080095917	1.2643906824712814	1.5711137813681137	2.8119830631929505	1.7026830956773855	3.0436893179928584	0.312004253167605	2.7447460323842416	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0
170000	1.8887692274498802	2.5296318167619702	1.7204296401631984	0.6556613822467802	0.8334370099968786	2.15002014773903	0.014083948031398195	0.13140145306211218	0.7048988464373374	0.7461192002059923	1.8650138456943657	1.3575297784275537	1.288376101951111	1.0166005811766916	0.2547065417655725	2.9218425809588715	0.1906404818772487	2.9186512004076586	0.7319312462190035	3.528871849303963	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	10.0
180000	0.19853655142683665	4.035333917673205	0.5998788025205439	1.7868994066728763	0.10193545984303345	0.6962406530245564	0.17535018459386487	3.5761180046100627	1.202051805948549	0.31083196481543374	1.565716211062642	1.0636765197709723	0.4146959852049051	0.20345117535073154	1.279794278884461	1.5667117488206912	0.6854005101589634	1.0638382234611128	2.579094010958139	0.4191126640803856	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	9.0
190000	0.4231259679392448	0.43687295078503524	1.8090950883772479	2.720095172506106	1.4005066360407996	0.808879162156146	0.6113549102055013	1.2121796600572214	0.3211769787274232	0.07255724235668634	0.16196888567232642	0.1899070748514642	0.6120594661085925	0.4884078724423308	2.8604884598240132	4.149516088741083	2.6196945952231703	3.420435499519284	0.07048700138656375	0.25913063496712924	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	9.0
